1 Dra N;1 Dra Lm;2 Per N;2 Per Lm;3 UMa N;3 UMa Lm;4 Gem N;4 Gem Lm;5 Aql N;5 Aql Lm;6 Peg N;6 Peg Lm;7 Cep N;7 Cep Lm;8 Tau N;8 Tau Lm;9 Leo N;9 Leo Lm;10 Vir N;10 Vir Lm
1;308;1;211;1;235;1;122;1;271;1;206;1;247;1;99;1;141;1;106
2;318;2;288;2;318;2;202;2;299;2;249;2;323;2;168;2;213;2;274
3;357;3;302;3;365;3;301;3;337;3;284;3;407;3;300;3;223;3;338
4;374;4;378;4;378;4;379;4;445;4;466;4;423;4;462;4;256;4;439
5;423;5;495;5;448;5;501;5;516;5;508;5;479;5;488;5;333;5;577
6;478;6;515;6;456;6;507;6;530;6;549;6;512;6;495;6;441;6;580
7;483;7;555;7;483;7;534;7;553;7;556;7;517;7;509;7;478;7;586
8;500;8;560;8;513;8;575;8;598;8;580;8;526;8;529;8;542;8;592
9;508;9;579;9;516;9;576;9;602;9;613;9;529;9;543;9;544;9;597
10;525;10;580;10;549;10;578;10;631;10;614;10;536;10;551;10;548;10;599
11;596;11;598;11;566;11;620;11;636;11;617;11;542;11;573;11;550;11;612
12;606;12;601;12;572;12;637;12;671;12;625;12;573;12;584;12;558;12;641
13;628;13;607;13;579;13;647;13;672;13;625;13;595;13;610;13;573;13;644
14;642;14;640;14;597;14;654;14;677;14;626;14;596;14;619;14;592;14;663
15;650;15;641;15;619;15;667;15;680;15;629;15;600;15;627;15;614;15;664
16;660;16;645;16;630;16;676;16;690;16;644;16;614;16;629;16;617;16;665
17;663;17;650;17;635;17;680;17;691;17;647;17;619;17;636;17;627;17;669
18;665;18;651;18;641;18;699;18;696;18;650;18;623;18;650;18;627;18;683
19;666;19;654;19;649;19;700;19;700;19;650;19;644;19;655;19;631;19;690
20;668;20;660;20;649;20;702;20;705;20;657;20;647;20;671;20;640;20;704
21;668;21;661;21;654;21;710;21;706;21;659;21;648;21;676;21;643;21;706
22;670;22;666;22;659;22;712;22;707;22;659;22;663;22;677;22;652;22;708
23;679;23;672;23;672;23;717;23;709;23;660;23;669;23;687;23;661;23;716
24;686;24;673;24;677;24;722;24;710;24;660;24;670;24;688;24;664;24;719
25;686;25;675;25;683;25;743;25;711;25;667;25;671;25;695;25;678;25;720
26;686;26;678;26;685;26;745;26;727;26;668;26;672;26;715;26;681;26;724
27;686;27;685;27;699;27;746;27;728;27;668;27;684;27;717;27;684;27;725
28;687;28;689;28;701;28;746;28;738;28;669;28;688;28;719;28;685;28;725
29;689;29;690;29;706;29;747;29;739;29;672;29;692;29;721;29;695;29;732
30;692;30;702;30;712;;;30;740;30;673;30;693;30;730;30;700;30;733
31;692;31;703;31;712;;;31;741;31;674;31;694;31;734;31;702;31;734
32;693;32;703;32;719;;;32;744;32;682;32;697;;;32;706;32;738
33;694;33;705;33;720;;;33;745;33;687;33;701;;;33;707;33;742
34;702;34;715;34;723;;;34;747;34;689;34;704;;;34;710;;
35;703;35;715;35;724;;;;;35;689;35;706;;;35;712;;
36;704;36;716;36;730;;;;;36;707;36;708;;;36;712;;
37;709;37;718;37;733;;;;;37;707;37;716;;;37;712;;
38;710;38;722;38;740;;;;;38;710;38;718;;;38;713;;
39;710;39;723;39;741;;;;;39;711;39;723;;;39;713;;
40;715;40;724;40;744;;;;;40;712;40;724;;;40;722;;
41;724;41;724;41;745;;;;;41;712;41;725;;;41;726;;
42;730;42;725;42;747;;;;;42;714;42;725;;;42;730;;
43;731;43;726;43;748;;;;;43;715;43;727;;;43;730;;
44;732;44;727;44;750;;;;;44;719;44;729;;;44;731;;
45;733;45;728;;;;;;;45;724;45;730;;;45;733;;
46;735;46;730;;;;;;;46;727;46;732;;;46;734;;
47;735;47;731;;;;;;;47;733;47;735;;;47;736;;
48;736;48;731;;;;;;;48;737;48;739;;;48;743;;
49;739;49;733;;;;;;;49;743;49;743;;;49;743;;
50;743;50;733;;;;;;;50;744;50;744;;;50;744;;
51;750;51;735;;;;;;;51;745;51;746;;;51;745;;
;;52;735;;;;;;;52;745;52;749;;;52;748;;
;;53;736;;;;;;;53;745;;;;;53;749;;
;;54;742;;;;;;;54;749;;;;;;;;
;;55;745;;;;;;;55;749;;;;;;;;
;;56;748;;;;;;;56;750;;;;;;;;
;;57;749;;;;;;;;;;;;;;;;
;;58;750;;;;;;;;;;;;;;;;
;;59;750;;;;;;;;;;;;;;;;
